,,,,,,,,,,,,,,,,,,,,,,,
graphics/building.png,600,,,,,,,,,,,,,,,,,,,,,,
-1,-1,9,9,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,33,33,34,35,-1,-1,-1,-1,-1,-1,-1,103,103,103,103,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,9,10,11,12,13,14,15,16,17,-1,103,103,103,103,103,17,-1,-1,-1,-1,-1
-1,-1,-1,33,34,35,36,37,38,39,40,41,-1,127,127,127,127,103,103,-1,-1,-1,-1,-1
-1,98,-1,57,58,59,60,61,62,63,64,65,-1,151,151,151,151,127,127,103,-1,-1,-1,-1
98,99,-1,81,82,83,84,85,86,87,88,89,-1,175,175,175,175,151,151,127,-1,-1,-1,-1
98,99,-1,105,106,107,108,109,110,111,112,113,-1,199,199,199,199,175,175,151,-1,-1,-1,-1
98,99,-1,129,130,131,132,133,134,135,136,137,-1,223,223,223,223,199,199,175,-1,-1,-1,-1
122,123,-1,153,154,155,156,157,158,159,160,161,-1,247,247,247,247,223,223,199,-1,-1,-1,-1
98,99,-1,177,178,179,180,181,182,183,184,185,-1,99,100,101,102,103,247,223,-1,-1,-1,-1
-1,-1,-1,201,202,203,204,205,206,207,208,209,-1,123,124,125,126,127,271,247,-1,-1,-1,-1
-1,-1,-1,9,9,9,10,11,12,-1,-1,-1,-1,17,148,149,150,151,295,271,-1,-1,-1,-1
-1,-1,-1,33,33,33,34,-1,-1,-1,-1,-1,-1,-1,172,173,174,175,319,295,-1,-1,-1,-1
146,122,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,197,198,199,343,319,-1,-1,-1,-1
170,146,122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,221,222,223,367,343,-1,-1,-1,-1
194,170,146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,244,245,246,247,367,367,-1,-1,-1,-1
218,194,170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,268,269,-1,-1,-1,367,-1,-1,-1,-1
242,218,194,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,366,367,-1,-1,-1,-1
266,242,218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,318,319,366,367,-1,-1,-1,-1
290,266,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,342,343,367,-1,-1,-1,-1,-1
314,290,-1,-1,242,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,365,366,367,367,-1,-1,-1,-1,-1
338,314,290,290,266,266,266,290,-1,-1,338,-1,-1,363,364,365,366,367,-1,-1,-1,-1,-1,-1
362,338,314,314,290,290,290,314,314,338,362,362,363,364,365,366,367,-1,-1,-1,-1,-1,-1,-1
314,362,338,338,314,314,314,338,338,362,362,363,364,365,366,367,-1,-1,-1,-1,-1,-1,-1,-1
338,314,362,362,338,338,338,362,362,362,363,364,365,366,367,-1,-1,-1,-1,-1,-1,-1,-1,-1
